device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
laptop,Dell,XPS 13,won't turn on no power black screen,Power supply failure,"Power adapter;Battery;Motherboard",60,90.0,Intermediate
laptop,Dell,XPS 13,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Beginner
laptop,Dell,XPS 13,screen cracked broken display,Screen damage,"Display;Touch digitizer",75,95.0,Advanced
laptop,Dell,XPS 13,slow performance lag freezing,Software issue,"RAM;SSD;Operating system",90,85.0,Intermediate
laptop,Dell,XPS 13,overheating fan loud hot,Cooling system failure,"Fan;Heat sink;Thermal paste",60,88.0,Intermediate
laptop,Dell,XPS 13,wifi not connecting no internet,Network failure,"Wifi card;Network drivers",30,92.0,Beginner
laptop,Dell,XPS 13,keyboard not working some keys,Keyboard failure,"Keyboard;Ribbon cable",45,90.0,Intermediate
laptop,Dell,XPS 13,no sound speaker audio issue,Audio failure,"Speakers;Audio jack",30,85.0,Beginner
laptop,Dell,XPS 13,usb ports not working,USB failure,"USB ports;Motherboard",45,87.0,Intermediate
laptop,Dell,XPS 15,won't turn on no power black screen,Power supply failure,Power adapter,Battery,Motherboard,60,90.0,Intermediate
laptop,Dell,XPS 15,dead battery not charging,Battery failure,Battery,Charging port,45,95.0,Beginner
laptop,Dell,XPS 15,screen cracked broken display,Screen damage,Display,Touch digitizer,75,95.0,Advanced
laptop,Dell,XPS 15,slow performance lag freezing,Software issue,RAM,SSD,Operating system,90,85.0,Intermediate
laptop,Dell,XPS 15,overheating fan loud hot,Cooling system failure,Fan,Heat sink,Thermal paste,60,88.0,Intermediate
laptop,Dell,XPS 15,wifi not connecting no internet,Network failure,Wifi card,Network drivers,30,92.0,Beginner
laptop,Dell,XPS 15,keyboard not working some keys,Keyboard failure,Keyboard,Ribbon cable,45,90.0,Intermediate
laptop,Dell,XPS 15,no sound speaker audio issue,Audio failure,Speakers,Audio jack,30,85.0,Beginner
laptop,Dell,XPS 15,usb ports not working,USB failure,USB ports,Motherboard,45,87.0,Intermediate
laptop,Dell,Inspiron,won't turn on no power black screen,Power supply failure,Power adapter,Battery,Motherboard,60,90.0,Intermediate
laptop,Dell,Inspiron,dead battery not charging,Battery failure,Battery,Charging port,45,95.0,Beginner
laptop,Dell,Inspiron,screen cracked broken display,Screen damage,Display,Touch digitizer,75,95.0,Advanced
